feature,chi2,p,n_target,n_reference
known,5.616129823107853,0.017795904353679837,34,12
need,5.609753307292229,0.01786077731739033,131,71
population,5.5795644217069205,0.018171241566823815,98,50
light,5.5745882410093675,0.018222949399989696,20,5
politicians,5.5745882410093675,0.018222949399989696,20,5
interested,5.560785336018178,0.0183671730879581,32,11
bandera,5.521478066532905,0.018784380908375087,13,2
interesting,5.521478066532905,0.018784380908375087,13,2
sort,5.521478066532905,0.018784380908375087,13,2
supposedly,5.521478066532905,0.018784380908375087,13,2
impunity,5.504651711510543,0.018965956974892784,22,6
supplied,5.504651711510543,0.018965956974892784,22,6
yanukovych,5.504651711510543,0.018965956974892784,22,6
less,5.4834866652264616,0.019196931044287435,28,9
participate,5.4834866652264616,0.019196931044287435,28,9
picture,5.46742206662696,0.019374183297514835,26,8
agreements,5.463503155292423,0.019417679567433677,206,121
rocket,5.456684959832842,0.019493595931437846,41,16
evidence,5.409628086033635,0.020025982148550336,65,30
language,5.409628086033635,0.020025982148550336,65,30
many,5.329862385699023,0.020963040301787528,183,106
came,5.2843886706425485,0.021517445166780114,37,14
daria,5.248192836359972,0.021969576444942573,9,0
figure,5.248192836359972,0.021969576444942573,9,0
fit,5.248192836359972,0.021969576444942573,9,0
himars,5.248192836359972,0.021969576444942573,9,0
paragraphs,5.248192836359972,0.021969576444942573,9,0
weaken,5.248192836359972,0.021969576444942573,9,0
west's,5.248192836359972,0.021969576444942573,9,0
benefits,5.238280907595657,0.022095096968193673,15,3
london,5.238280907595657,0.022095096968193673,15,3
money,5.238280907595657,0.022095096968193673,15,3
surprising,5.238280907595657,0.022095096968193673,15,3
inclusive,5.071400166251236,0.024323728918867693,17,4
living,5.066495031090637,0.024392656703887572,31,11
secretariat,5.066495031090637,0.024392656703887572,31,11
minsk,5.063555299350733,0.024434063419413565,235,142
seems,5.009663309904149,0.025206209099465027,29,10
speaking,4.977219183109809,0.025683234424694668,19,5
data,4.964020674998527,0.025879966162628887,27,9
formations,4.932617242095534,0.02635437344938385,25,8
developing,4.9315064808852,0.026371318110841924,21,6
peoples,4.9315064808852,0.026371318110841924,21,6
proposal,4.9315064808852,0.026371318110841924,21,6
conducting,4.919723173343064,0.02655177121028196,23,7
consideration,4.919723173343064,0.02655177121028196,23,7
heard,4.864155032594173,0.027420223096413787,94,49
conceal,4.832063330248581,0.027935179269327093,12,2
fall,4.832063330248581,0.027935179269327093,12,2
familiar,4.832063330248581,0.027935179269327093,12,2
objectives,4.832063330248581,0.027935179269327093,12,2
sector,4.832063330248581,0.027935179269327093,12,2
poroshenko,4.74325401540626,0.029413386691370724,34,13
refugees,4.74325401540626,0.029413386691370724,34,13
subject,4.74325401540626,0.029413386691370724,34,13
certainly,4.591049801098686,0.03213932332328151,14,3
strange,4.591049801098686,0.03213932332328151,14,3
participation,4.58741760625085,0.03220750532919603,39,16
public,4.58741760625085,0.03220750532919603,39,16
launch,4.5855203513606995,0.03224317979328373,30,11
national,4.521702108142444,0.03346751969563255,77,39
directly,4.5173354588940855,0.033553048298814336,28,10
discuss,4.5173354588940855,0.033553048298814336,28,10
happening,4.5173354588940855,0.033553048298814336,28,10
basements,4.49540035334801,0.03398615467594568,8,0
cited,4.49540035334801,0.03398615467594568,8,0
company,4.49540035334801,0.03398615467594568,8,0
contacts,4.49540035334801,0.03398615467594568,8,0
fabrications,4.49540035334801,0.03398615467594568,8,0
laid,4.49540035334801,0.03398615467594568,8,0
lawlessness,4.49540035334801,0.03398615467594568,8,0
linked,4.49540035334801,0.03398615467594568,8,0
monstrous,4.49540035334801,0.03398615467594568,8,0
one-sided,4.49540035334801,0.03398615467594568,8,0
persecuted,4.49540035334801,0.03398615467594568,8,0
politicized,4.49540035334801,0.03398615467594568,8,0
post,4.49540035334801,0.03398615467594568,8,0
sergeyev,4.49540035334801,0.03398615467594568,8,0
unconstitutional,4.49540035334801,0.03398615467594568,8,0
weakening,4.49540035334801,0.03398615467594568,8,0
