feature,chi2,p,n_target,n_reference
reaffirm,0.2973998281112309,0.5855171053930617,105,0
standards,0.2973998281112309,0.5855171053930617,105,0
understanding,0.2973998281112309,0.5855171053930617,105,0
active,0.29456696509278557,0.5873086660342323,104,0
country’s,0.29456696509278557,0.5873086660342323,104,0
enable,0.29456696509278557,0.5873086660342323,104,0
happening,0.29456696509278557,0.5873086660342323,104,0
hours,0.29456696509278557,0.5873086660342323,104,0
tribunal,0.29456696509278557,0.5873086660342323,104,0
so-called,0.2938579920238308,0.5877587794199625,374,0
addressing,0.2917341113778963,0.5891114080772423,103,0
declared,0.2917341113778963,0.5891114080772423,103,0
faith,0.2917341113778963,0.5891114080772423,103,0
militants,0.2917341113778963,0.5891114080772423,103,0
rocket,0.2917341113778963,0.5891114080772423,103,0
school,0.2917341113778963,0.5891114080772423,103,0
essential,0.2916606863018138,0.5891582836846749,373,0
role,0.2916606863018138,0.5891582836846749,373,0
forced,0.2894668114676348,0.5905624127396664,372,0
populated,0.2889012669665171,0.5909254859766764,102,0
unable,0.2889012669665171,0.5909254859766764,102,0
invasion,0.28727639518898934,0.5919711900081639,371,0
necessary,0.28727639518898934,0.5919711900081639,371,0
pv,0.28727639518898934,0.5919711900081639,371,0
services,0.28727639518898934,0.5919711900081639,371,0
combat,0.28606843185860226,0.5927510578909143,101,0
demonstrate,0.28606843185860226,0.5927510578909143,101,0
experts,0.28606843185860226,0.5927510578909143,101,0
images,0.28606843185860226,0.5927510578909143,101,0
mines,0.28606843185860226,0.5927510578909143,101,0
nato,0.28606843185860226,0.5927510578909143,101,0
passage,0.28606843185860226,0.5927510578909143,101,0
people's,0.28606843185860226,0.5927510578909143,101,0
products,0.28606843185860226,0.5927510578909143,101,0
protocol,0.28606843185860226,0.5927510578909143,101,0
romania,0.28606843185860226,0.5927510578909143,101,0
shot,0.28606843185860226,0.5927510578909143,101,0
thing,0.28606843185860226,0.5927510578909143,101,0
values,0.28606843185860226,0.5927510578909143,101,0
vessels,0.28606843185860226,0.5927510578909143,101,0
future,0.2850894654326837,0.5933846390903845,370,0
conducted,0.28323560605410586,0.5945882858095646,100,0
convoys,0.28323560605410586,0.5945882858095646,100,0
detained,0.28323560605410586,0.5945882858095646,100,0
martin,0.28323560605410586,0.5945882858095646,100,0
provocation,0.28323560605410586,0.5945882858095646,100,0
things,0.28323560605410586,0.5945882858095646,100,0
undertaken,0.28323560605410586,0.5945882858095646,100,0
utmost,0.28323560605410586,0.5945882858095646,100,0
plant,0.2807261788742545,0.5962256479927153,368,0
comes,0.28040278955298215,0.59643733568662,99,0
