feature,chi2,p,n_target,n_reference
prime,6.230633058879645,0.012555884090805325,21,3
speaking,6.230633058879645,0.012555884090805325,21,3
reality,6.222080517388053,0.012616676942931337,77,26
boy,6.164928983330639,0.013030760471653413,13,0
bravely,6.164928983330639,0.013030760471653413,13,0
cut,6.164928983330639,0.013030760471653413,13,0
deporting,6.164928983330639,0.013030760471653413,13,0
executed,6.164928983330639,0.013030760471653413,13,0
lying,6.164928983330639,0.013030760471653413,13,0
prepare,6.164928983330639,0.013030760471653413,13,0
proof,6.164928983330639,0.013030760471653413,13,0
son,6.164928983330639,0.013030760471653413,13,0
square,6.164928983330639,0.013030760471653413,13,0
staged,6.164928983330639,0.013030760471653413,13,0
wage,6.164928983330639,0.013030760471653413,13,0
leaving,6.1387504359664655,0.013225073731921722,32,7
moment,6.098011884833068,0.013533405558993072,54,16
look,5.9877468158040745,0.0144055917457111,49,14
site,5.982068953036543,0.014452039015885765,29,6
support,5.97683421927218,0.014494997875985738,648,324
10-point,5.958392915999057,0.014647386550633357,14,1
hundred,5.958392915999057,0.014647386550633357,14,1
someone,5.958392915999057,0.014647386550633357,14,1
sudan,5.958392915999057,0.014647386550633357,14,1
tactics,5.958392915999057,0.014647386550633357,14,1
units,5.958392915999057,0.014647386550633357,14,1
unspeakable,5.958392915999057,0.014647386550633357,14,1
condemned,5.874655260366196,0.01536038047011723,34,8
includes,5.874655260366196,0.01536038047011723,34,8
true,5.860523576602165,0.015484187286076256,39,10
including,5.851201553640122,0.015566419306105805,623,311
claims,5.849899149163514,0.015577943929162896,26,5
cruel,5.849899149163514,0.015577943929162896,26,5
insightful,5.849899149163514,0.015577943929162896,26,5
june,5.849899149163514,0.015577943929162896,26,5
hostage,5.755218834111459,0.016439747812694527,17,2
names,5.755218834111459,0.016439747812694527,17,2
otherwise,5.755218834111459,0.016439747812694527,17,2
arrangement,5.753131473941752,0.016459291778267326,23,4
exactly,5.753131473941752,0.016459291778267326,23,4
regular,5.753131473941752,0.016459291778267326,23,4
bears,5.7102323421774335,0.01686630695806568,20,3
culture,5.7102323421774335,0.01686630695806568,20,3
maternity,5.7102323421774335,0.01686630695806568,20,3
planning,5.7102323421774335,0.01686630695806568,20,3
reporting,5.7102323421774335,0.01686630695806568,20,3
staff,5.7102323421774335,0.01686630695806568,20,3
strength,5.7102323421774335,0.01686630695806568,20,3
joint,5.648227089135894,0.017473029183382227,36,9
andorra,5.581557854789862,0.018150570191893367,12,0
baby,5.581557854789862,0.018150570191893367,12,0
business,5.581557854789862,0.018150570191893367,12,0
hub,5.581557854789862,0.018150570191893367,12,0
